Item,Category,Price,Location
4K Monitor,Electronics,450,Boston
Adventure Novel,Media,13,Boston
Air Purifier,Home Goods,120,San Francisco
Area Rug,Home Goods,90,Chicago
Art Book: Impressionism,Media,40,San Francisco
Backpack,Apparel,55,Boston
Baking Set,Home Goods,50,Denver
Ballet Flats,Apparel,70,Los Angeles
Biography: Einstein,Media,16,Miami
Blanket,Home Goods,40,Austin
Bluetooth Keyboard,Electronics,55,Seattle
Bluetooth Speaker,Electronics,85,Seattle
Cap,Apparel,18,Miami
Children’s Storybook,Media,12,Seattle
Coffee Grinder,Home Goods,60,New York
Compression Socks,Apparel,20,Denver
Cookbook: Vegan Recipes,Media,24,Austin
Cooking Magazine,Media,8,Austin
Cooking Utensil Set,Home Goods,40,Chicago
Digital Camera,Electronics,600,Los Angeles
Desk Organizer,Home Goods,22,New York
Desktop PC,Electronics,110000,Miami
Documentary DVD,Media,12,Los Angeles
Drawing Tablet,Electronics,80,Austin
Dress,Apparel,80,Boston
Dress Shirt,Apparel,70,New York
E-Scooter,Electronics,300,Chicago
Electric Kettle,Home Goods,55,Seattle
Ergonomic Mouse,Electronics,40,Boston
External SSD,Electronics,110,San Francisco
Fantasy Novel,Media,13,Boston
Financial Book,Media,20,Boston
Fleece Blanket,Home Goods,35,Chicago
Gaming Laptop,Electronics,1800,Chicago
Gaming Mousepad,Electronics,15,Seattle
Gloves,Apparel,899,New York
GPS Tracker,Electronics,60,Chicago
Graphic Novel,Media,14,Boston
HD Monitor,Electronics,300,Miami
HDMI Cable (10ft),Electronics,15,Austin
Headset Stand,Electronics,20,Miami
Herbal Tea Sampler,Media,18,Seattle
Hiking Boots,Apparel,140,Miami
Historical Biography,Media,18,Chicago
History Book: Rome,Media,28,Los Angeles
History Magazine,Media,9,Chicago
Hoodie,Apparel,55,Denver
Indoor Plant Set,Home Goods,60,New York
Kids' Book: Dinosaurs,Media,10,New York
Kitchen Scale,Home Goods,32,Miami
Language Textbook,Media,30,Denver
Laptop Backpack,Apparel,65,Austin
Laptop Stand,Electronics,35,Chicago
LED Desk Lamp,Home Goods,48,Austin
LED Strip Lights,Electronics,18,Boston
Leather Belt,Apparel,35,Denver
Leather Wallet,Apparel,45,Los Angeles
Mixing Bowls,Home Goods,28,Los Angeles
Noise Cancelling Earbuds,Electronics,120,Denver
Noise Machine,Home Goods,40,Boston
Noise-Canceling Headphones,Electronics,199,New York
Organizer Tray Set,Home Goods,28,Denver
Outdoor Lantern,Home Goods,42,Denver
Pet Camera,Electronics,95,Chicago
Philosophy Text,Media,21,Austin
Picture Frames (Set),Home Goods,24,Austin
Pillow (Memory Foam),Home Goods,45,Austin
Poetry Collection,Media,19,Denver
Portable Fan,Home Goods,38,Denver
Programming Book: C++,Media,45,New York
Projector,Electronics,220,Los Angeles
Rain Boots,Apparel,60,Seattle
Rain Jacket,Apparel,95,Seattle
Running Jacket,Apparel,70,Chicago
Running Shorts,Apparel,35,Chicago
Science Fiction Magazine,Media,10,Boston
Science Fiction Novel,Media,16,San Francisco
Science Journal,Media,25,Chicago
Scented Candles (Set),Home Goods,22,Chicago
Self-Help Book,Media,12,Miami
Serving Platter,Home Goods,25,Seattle
Silk Pajamas,Apparel,95,New York
Smart Light Bulbs (4-pack),Electronics,40,San Francisco
Smart Plug (4-pack),Electronics,35,San Francisco
Smart Thermostat,Electronics,180,Los Angeles
Smart Watch,Electronics,250,Austin
Sneakers,Apparel,75,Boston
Soap Dispenser,Home Goods,15,San Francisco
Sports Bra,Apparel,40,Chicago
Standing Desk,Home Goods,300,San Francisco
Storage Bins (Pack),Home Goods,30,Denver
Summer Dress,Apparel,45,Boston
Sweatpants,Apparel,50,Boston
Thriller Movie DVD,Media,10,San Francisco
Thriller Novel,Media,17,Denver
Tie,Apparel,20,Miami
Toaster,Home Goods,45,San Francisco
Towel Set,Home Goods,50,Seattle
Travel Guide: Italy,Media,15,New York
Travel Pillow,Apparel,25,Miami
Trash Can (Sensor),Home Goods,70,Chicago
Trousers,Apparel,60,Miami
USB-C Hub,Electronics,30,Austin
VR Headset,Electronics,399,Boston
Vacuum Cleaner,Home Goods,150,Boston
Watch,Apparel,45,New York
Water Filter Pitcher,Home Goods,35,New York
Webcam,Electronics,45,New York
Webcam Cover,Electronics,8,Seattle
Wine Glasses (Set),Home Goods,35,Denver
Wine Opener Set,Home Goods,30,Austin
Winter Scarf,Apparel,20,Boston
Wireless Charger,Electronics,20,Miami
Wireless Earbuds,Electronics,75,Miami
Wireless Mouse,Electronics,25,Miami
Wireless Router,Electronics,95,Chicago
Workout Leggings,Apparel,65,Denver
Workout Tank,Apparel,25,Miami
Wool Sweater,Apparel,85,New York
Yoga Mat,Apparel,30,Austin
